Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
bubble_v1_10_20000.csv;429,2;12040,858;7,997;12071,316219;12048,855
bubble_v1_1_20000.csv;412,0;12072,854;7,997;12103,334842;12080,850999999999
bubble_v1_2_20000.csv;414,23;12415,058;12,002;12450,334846;12427,060000000001
bubble_v1_3_20000.csv;410,63;12024,707;4,0;12054,007665;12028,707
bubble_v1_4_20000.csv;424,61;12376,401;12,008;12407,759697;12388,409
bubble_v1_5_20000.csv;405,22;12044,591;8,0;12074,021281;12052,591
bubble_v1_6_20000.csv;422,97;12414,593;4,0;12440,329375;12418,593
bubble_v1_7_20000.csv;430,6;12407,94;3,999;12432,08439;12411,939
bubble_v1_8_20000.csv;429,19;12041,551;11,997;12076,646732;12053,547999999999
bubble_v1_9_20000.csv;428,29;12047,718;3,999;12076,114895;12051,717
