Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
selection_v1_50000_1.csv;1010,28;32629,2;7,999;32678,625446;32637,199
selection_v1_50000_10.csv;1123,4;31838,501;3,999;31862,036609;31842,5
selection_v1_50000_2.csv;1018,23;31863,602;16,001;31901,052844;31879,603
selection_v1_50000_3.csv;1094,59;32913,769;3,999;32938,755916;32917,768000000004
selection_v1_50000_4.csv;1078,47;32286,13;3,999;32331,934357;32290,129
selection_v1_50000_5.csv;1108,73;32231,696;11,998;32265,225163;32243,694
selection_v1_50000_6.csv;1086,22;32183,346;3,999;32208,368542;32187,345
selection_v1_50000_7.csv;1116,66;32694,78;7,998;32723,685951;32702,778
selection_v1_50000_8.csv;1079,5;31861,009;4,0;31887,258013;31865,009
selection_v1_50000_9.csv;1137,19;32865,032;0,0;32885,813112;32865,032
