Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
bubble_v2_10_50000.csv;2781,63;79316,147;3,999;79344,497253;79320,146
bubble_v2_50000_1.csv;2606,67;78953,791;19,999;78994,235247;78973,79
bubble_v2_50000_2.csv;2637,13;77045,016;3,999;77069,729143;77049,015
bubble_v2_50000_3.csv;2730,19;78903,266;15,999;78940,869482;78919,265
bubble_v2_50000_4.csv;2670,7;79380,736;7,999;79411,755839;79388,735
bubble_v2_5_50000.csv;2790,15;76906,769;3,999;76931,866433;76910,768
bubble_v2_6_50000.csv;2805,1;77110,849;7,999;77139,31396;77118,848
bubble_v2_7_50000.csv;2814,56;76736,492;0,0;76758,53004;76736,492
bubble_v2_8_50000.csv;2831,96;77194,879;7,999;77226,0094;77202,878
bubble_v2_9_50000.csv;2860,86;79366,513;0,0;79389,507176;79366,513
