Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
selection_v2_50000_1.csv;4,57;148,619;8,033;175,71606;156,652
selection_v2_50000_10.csv;5,07;155,393;0,0;196,435378;155,393
selection_v2_50000_2.csv;4,74;157,255;0,0;176,823803;157,255
selection_v2_50000_3.csv;4,47;150,154;7,902;177,379077;158,05599999999998
selection_v2_50000_4.csv;4,53;171,629;8,172;200,182084;179,801
selection_v2_50000_5.csv;4,69;146,998;11,605;176,700571;158,60299999999998
selection_v2_50000_6.csv;4,32;151,706;7,984;180,042251;159,69
selection_v2_50000_7.csv;4,12;190,72;3,973;215,802885;194,693
selection_v2_50000_8.csv;4,18;169,325;15,393;206,508435;184,718
selection_v2_50000_9.csv;4,67;155,152;0,0;175,041518;155,152
