Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
bolha_v2_10_10000.csv;103,0;3135,988;3,994;3148,414599;3139,982
bolha_v2_1_10000.csv;100,06;3039,036;4,009;3050,899458;3043,045
bolha_v2_2_10000.csv;103,11;3150,145;0,0;3162,569312;3150,145
bolha_v2_3_10000.csv;103,66;3142,764;4,003;3154,081463;3146,7670000000003
bolha_v2_4_10000.csv;100,97;3140,344;4,0;3152,085217;3144,344
bolha_v2_5_10000.csv;103,24;3145,4;0,0;3155,343167;3145,4
bolha_v2_6_10000.csv;99,9;3134,934;8,017;3150,344472;3142,951
bolha_v2_7_10000.csv;101,58;3039,797;4,005;3050,323213;3043,802
bolha_v2_8_10000.csv;104,94;3129,594;7,993;3146,849884;3137,587
bolha_v2_9_10000.csv;102,42;3032,375;8,0;3047,500775;3040,375
