Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
insertion_v2_10000_1.csv;1,59;49,54;4,128;62,456492;53,668
insertion_v2_10000_10.csv;1,45;50,379;3,875;59,98596;54,254
insertion_v2_10000_2.csv;1,48;50,884;3,914;61,385467;54,798
insertion_v2_10000_3.csv;1,52;49,799;3,83;59,378404;53,629
insertion_v2_10000_4.csv;1,34;52,688;4,052;63,914627;56,74
insertion_v2_10000_5.csv;1,4;50,768;4,23;61,701113;54,998000000000005
insertion_v2_10000_6.csv;1,38;49,27;7,58;64,236911;56,85
insertion_v2_10000_7.csv;1,49;46,96;7,224;61,671445;54,184
insertion_v2_10000_8.csv;1,3;60,346;0,0;73,712485;60,346
insertion_v2_10000_9.csv;1,49;53,1;0,0;59,968928;53,1
