Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
insertion_v1_10_20000.csv;165,99;4979,692;3,996;5004,518989;4983,688
insertion_v1_1_20000.csv;166,64;5025,674;0,0;5049,573189;5025,674
insertion_v1_2_20000.csv;165,64;4966,829;0,0;4990,324522;4966,829
insertion_v1_3_20000.csv;164,63;5000,695;3,994;5028,277248;5004,688999999999
insertion_v1_4_20000.csv;206,58;6129,085;4,003;6157,083715;6133,088
insertion_v1_5_20000.csv;166,44;4989,955;7,996;5021,817327;4997,951
insertion_v1_6_20000.csv;163,15;4982,039;4,004;5007,095902;4986,043
insertion_v1_7_20000.csv;213,33;6188,601;0,0;6210,726078;6188,601
insertion_v1_8_20000.csv;171,94;5003,653;3,999;5028,433571;5007,652
insertion_v1_9_20000.csv;216,24;6216,414;8,0;6248,473007;6224,414
