Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
insertion_v1_10_10000.csv;38,83;1253,298;0,0;1260,976933;1253,298
insertion_v1_1_10000.csv;47,19;1477,667;8,009;1506,466227;1485,676
insertion_v1_2_10000.csv;39,2;1255,397;0,0;1264,0214;1255,397
insertion_v1_3_10000.csv;46,22;1478,01;11,951;1497,694219;1489,961
insertion_v1_4_10000.csv;40,03;1248,544;3,988;1259,877539;1252,5320000000002
insertion_v1_5_10000.csv;39,21;1244,993;4,003;1256,590535;1248,9959999999999
insertion_v1_6_10000.csv;39,26;1241,343;7,957;1257,666826;1249,3000000000002
insertion_v1_7_10000.csv;39,82;1245,869;0,0;1255,564286;1245,869
insertion_v1_8_10000.csv;39,6;1240,236;3,987;1252,976103;1244,2230000000002
insertion_v1_9_10000.csv;39,28;1244,919;3,99;1258,80472;1248,909
