Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
selection_v2_20000_1.csv;2,44;71,754;7,972;150,328791;79,726
selection_v2_20000_10.csv;2,18;61,439;7,679;89,544245;69,118
selection_v2_20000_2.csv;2,2;62,32;8,309;90,729779;70,629
selection_v2_20000_3.csv;2,26;64,957;3,821;89,591968;68,77799999999999
selection_v2_20000_4.csv;2,23;65,029;4,335;88,672535;69,36399999999999
selection_v2_20000_5.csv;2,47;65,404;3,847;90,41851;69,25099999999999
selection_v2_20000_6.csv;1,79;75,418;0,0;96,506797;75,418
selection_v2_20000_7.csv;2,0;66,664;3,921;91,647668;70,58500000000001
selection_v2_20000_8.csv;2,17;66,794;3,71;90,250391;70,50399999999999
selection_v2_20000_9.csv;2,36;68,241;0,0;92,45397;68,241
