Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
insertion_v2_20000_1.csv;4,36;151,209;0,0;172,615674;151,209
insertion_v2_20000_10.csv;4,36;151,137;0,0;171,068302;151,137
insertion_v2_20000_2.csv;4,19;143,46;7,97;171,530327;151,43
insertion_v2_20000_3.csv;4,16;152,129;0,0;172,946538;152,129
insertion_v2_20000_4.csv;4,57;146,558;4,187;169,907389;150,745
insertion_v2_20000_5.csv;4,07;179,078;7,959;210,272582;187,037
insertion_v2_20000_6.csv;4,08;151,34;0,0;176,22756;151,34
insertion_v2_20000_7.csv;4,68;143,518;7,553;170,862215;151,071
insertion_v2_20000_8.csv;4,24;147,967;3,893;175,718062;151,86
insertion_v2_20000_9.csv;4,2;145,86;7,884;173,292901;153,74400000000003
