Arquivo;Consumo Energia (Joules);User Time (s);System Time (s);Duration Time (s);CPU Time (s)
selection_v1_20000_1.csv;162,84;5214,18;3,998;5224,593255;5218,178
selection_v1_20000_10.csv;159,95;5226,302;3,998;5249,414714;5230,299999999999
selection_v1_20000_2.csv;160,9;5091,35;8,005;5119,748455;5099,3550000000005
selection_v1_20000_3.csv;162,49;5222,89;4,005;5246,834023;5226,895
selection_v1_20000_4.csv;167,4;5244,015;11,99;5280,998703;5256,005
selection_v1_20000_5.csv;158,74;5101,434;8,008;5128,767052;5109,442
selection_v1_20000_6.csv;162,08;5091,35;0,0;5111,491974;5091,35
selection_v1_20000_7.csv;158,98;5220,452;7,994;5249,685344;5228,446
selection_v1_20000_8.csv;162,05;5234,595;11,987;5267,528619;5246,582
selection_v1_20000_9.csv;165,09;5123,167;3,999;5147,958023;5127,166
